orgnr_frtk,yrkeskode,antall_stillinger
919117257,8322,1
989467611,7126,1
989467611,7115,2
989467611,5153,2
944975489,8332,17
979334494,7233,3
979334494,8342,6
979334494,9312,1
979334494,4110,2
979334494,8332,1
921073968,7115,2
977250293,3123,2
919580526,7231,2
974493411,4110,1
974493411,8157,1
974493411,3322,1
910774115,5223,3
980704181,8332,2
989575716,1323,1
879946492,7411,9
879946492,4321,1
879946492,3115,1
879946492,7223,1
879946492,7132,1
879946492,2152,4
879946492,2151,1
971095059,5223,1
971095059,2431,1
971095059,1420,1
911578069,7233,1
911578069,3114,1
911578069,2512,1
911578069,2433,1
911578069,3322,1
991134719,3313,3
991134719,4311,3
953746492,7222,1
917170401,4321,1
935106877,5223,2
944305394,3112,1
812676342,5223,5
912852962,9333,1
912852962,1420,1
937500181,5223,6
989289691,8322,1
989289691,8332,5
916885814,5223,2
958633564,3119,2
958633564,7114,1
958633564,3112,1
958633564,7126,2
958633564,2142,1
948234130,5223,2
948234130,3112,4
948234130,1323,1
948234130,2142,2
938106827,3112,1
993126357,8332,3
980026035,4311,1
835000702,1349,3
835000702,8342,8
835000702,6113,17
835000702,4110,1
835000702,8332,2
835000702,1323,1
835000702,1311,1
835000702,2423,1
835000702,3313,1
835000702,7113,4
992003863,5223,1
992003863,1420,2
989757814,8342,2
989757814,8332,2
984635532,5223,1
897538172,7231,2
897538172,8332,9
897538172,4322,2
917865175,1120,1
920626165,9112,1
948173328,7411,5
958775563,8332,1
952257145,2431,2
911966905,7212,9
971075023,8322,5
914116848,7115,4
887726612,3313,1
944574379,6113,5
917215014,8332,2
999654126,3123,1
999654126,1323,1
999654126,2643,1
992160926,3321,8
917838577,9112,4
986303065,3512,4
986303065,4132,4
986303065,1330,3
986303065,2431,1
986303065,2631,5
986303065,2161,3
986303065,2152,7
986303065,2141,3
986303065,2511,23
998246202,9312,1
998246202,7131,2
913156706,5223,1
989299352,4313,2
989299352,3313,14
989299352,4311,1
989299352,9112,1
946468037,1120,2
946468037,1349,4
946468037,7233,57
946468037,7231,34
946468037,5223,22
946468037,4321,1
946468037,1321,1
946468037,1324,1
946468037,1311,2
946468037,4322,1
946468037,3115,2
946468037,1222,1
946468037,1212,1
946468037,3313,1
946468037,2431,3
946468037,4226,1
946468037,1221,3
946468037,2433,9
946468037,3322,10
946468037,1420,9
922385785,7233,2
922385785,3322,1
982165105,2161,6
979683359,1219,1
979683359,3259,4
979683359,1323,2
979683359,3412,2
979683359,2423,2
979683359,2635,6
979683359,1114,4
916269331,3256,1
985460191,2411,1
910082620,5223,6
910082620,3323,2
947957007,4110,1
916081537,7119,16
916081537,5329,27
916081537,8342,43
916081537,3123,1
916081537,7114,158
916081537,8322,4
916081537,7231,4
916081537,5223,2
916081537,7411,68
916081537,7413,1
916081537,6113,8
916081537,7125,22
916081537,7122,94
916081537,9312,5
916081537,9313,3
916081537,7124,4
916081537,4110,2
916081537,7213,9
916081537,8343,1
916081537,7127,16
916081537,8332,49
916081537,4322,3
916081537,7131,39
916081537,3115,2
916081537,7112,38
916081537,7132,6
916081537,7214,15
916081537,9611,1
916081537,7215,5
916081537,7126,120
916081537,5131,3
916081537,3343,1
916081537,7212,15
916081537,7121,14
916081537,3251,1
916081537,7115,118
916081537,0,1
917314330,7411,10
915019706,5141,1
992076356,9112,1
992076356,5151,1
986897321,9112,4
994415093,7222,3
972408832,3240,1
838492002,4311,1
979532504,4224,6
914114063,5223,2
947464981,5223,5
985834997,5223,4
963544731,7213,3
963544731,2423,1
920730485,7115,1
890727492,4321,1
890727492,7511,3
987072520,7549,1
989376977,3112,1
947569155,5223,2
977458412,5223,1
912493865,1349,1
912493865,4321,1
912493865,1322,1
912493865,7214,1
937665660,9412,1
918765492,5131,13
916499175,3322,1
914791952,8332,1
993581755,7115,2
950610956,5153,2
910910353,8342,3
910910353,3112,2
910910353,1323,1
910910353,1212,1
910910353,4311,3
910910353,2142,2
930451614,7411,9
930451614,3114,1
930451614,3412,1
946995517,7411,2
945833777,7213,2
945833777,7127,4
943079420,2642,1
943079420,1221,1
943079420,3322,2
931058142,3256,2
939273484,7233,1
939273484,8332,4
