yrke,yrkeskode
Yrkesdykkere,7541
Skipsmaskinister,3151
Begravelsesbyrå- og krematoriemedarbeidere,5163
Speditører og befraktere,3331
Jordbruks- skogbruksmaskinførere,8341
Skogbrukere,6210
Kundebehandlere lån og kreditt,3312
Altmuligmann,9622
Vinduspussere,9123
Applikasjonsprogrammerere,2514
Reisebyråmedarbeidere mv.,4221
Salgskonsulenter innen IKT-produkter,2434
Sivilingeniører (kjemi),2145
Sivilingeniører (telekommunikasjon),2153
Universitets- og høyskolelektorer/-lærere,2310
Andre IKT-lærere,2356
Bioingeniører,3212
Fysikere og astronomer,2111
Kjemikere,2113
Sivilagronomer mv.,2132
Farmasøyter,2262
Advokatsekretærer,3342
Andre sikkerhetsarbeidere,5419
Kjøreskolelærere,5165
Hjemmehjelper,5322
Vernepleiere,2224
Politikere,1111
Kiropraktorer mv.,2269
Husholdere,5152
Melke- og husdyrprodusenter,6121
Operatører innen trelastproduksjon,8172
"Landmålere, kartografer mv.",2165
Dekks- og maskinmannskap (skip),8350
Databasedesignere og -administratorer,2521
Demonstrasjonsselgere,5242
Dørselgere,5243
Ledere av forsikring og finansvirksomhet,1346
Nettverksansvarlige,2523
Produkt- og klesdesignere,2163
"Skulptører, kunstmalere og andre billedkunstnere",2651
Teknikere innen radio og tv,3521
Fotografer og filmfotografer,3431
Rådgivere innen kompetanseutvikling,2424
Operatører innen tekstilproduksjon mv.,8152
Mekanikere innen flytekniske fag,7232
Andre yrker innen estetiske fag,3439
Operatører innen boring mv.,8113
Andre montører,8219
Geistlige yrker,2636
Religiøse yrker,3413
Andre lærere i estetiske fag,2355
"Rådgivere/forskere, samfunnsvitenskap",2632
Andre hjelpearbeidere i industri,9329
Landskapsarkitekter,2162
Andre hjelpearbeidere,9629
Helse- og miljørådgivere,2263
Jordmødre,2222
Legespesialister,2212
Arkivassistenter,4415
"Flyverter, båtverter mv.",5111
Gjenvinningsarbeidere,9612
Håndpakkere mv.,9321
Lektorer mv. i videregående skole,2330
Montører av elektriske og elektroniske produkter,8212
"Saksbehandlere for førerkort, importlisenser mv.",3354
Støpere,7211
Tollere,3351
Transportfunksjonærer,4323
Andre juridiske yrker,2619
Andre yrker innen forretningstjenester,3339
"Biologer, botanikere, zoologer mv.",2131
Bioteknikere (ikke-medisinske laboratorier),3141
Eiendomsmeglere- og forvaltere,3334
"Feiere, fasaderenholdere mv.",7133
Handels- og skipsmeglere,3324
Informasjonsskrankemedarbeidere,4225
Inkassomedarbeidere mv.,4214
Innehavere av kiosk/liten butikk,5221
Jordbruks- og skogbruksmaskinførere,8341
Ledere av eldreomsorg,1343
Metallslipere,7224
Møbelsnekkere,7522
Operatører av andre stasjonære maskiner,8189
"Pakke-, tappe- og etikettmaskinoperatør",8183
Postbud og postsorterere,4412
Presisjonsinstrumentmakere og -reparatører,7311
Prosessoperatører (oppredning),8112
Prøvesmakere og kvalitetsbedømmere av mat og drikke,7515
"Rådgivere/forskere, humanistiske fag",2633
Serviceelektronikere,7421
Servicemedarbeidere (bensinstasjon),5245
Skattefunksjonærer,3352
Skytebaser og sprengningsarbeidere,7542
Sykkelreparatører mv.,7234
Takstmenn,3315
Torghandlere mv.,5211
Varepåfyllere,9334
"Vevere, strikkere mv. (innen husflidsproduksjon)",7318
Strategi- og planleggingssjefer,1213
Kosmetologer mv.,5142
Programledere i TV og radio,2656
Andre rengjørere,9129
Smeder,7221
Agroteknikere,3142
Kontrolloperatører innen kjemisk prosessindustri,3133
Ergoterapeuter,2267
Energikontrolloperatører,3131
"Kontrolloperatører ved forbrennings-, kjøle- og vannrenseanlegg mv.",3132
Fengselsbetjenter,5413
Politibetjenter mv.,3355
Psykologer,2634
Audiografer og logopeder,2266
Desinfeksjonsarbeidere og skadedyrbekjempere,7544
Optikere,3254
Teknikere innen luftfartssikkerhet,3155
Hjelpearbeidere i bergverk,9311
Hjelpearbeidere i gartneri mv.,9214
Reiseledere og guider,5113
