orgnr_frtk,nkode1,ansatte_antall,navn,naerk_tekst
982743966,69.202,7.0,ØSTLANDSKE REVISORER AS,Revisjon
994299735,45.200,21.0,ØSTLI AS,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler"
992529601,69.201,5.0,ØSTLID REGNSKAP AS,Regnskap og bokføring
914912350,70.220,3.0,ØSTLYNG & BJERKE AS,Bedriftsrådgivning og annen administrativ rådgivning
979572409,47.521,26.0,ØSTLYNGEN BYGG AS,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer"
979572395,47.591,9.0,ØSTLYNGEN MØBLER AS,Butikkhandel med møbler
977314739,10.710,59.0,ØSTLYNGENS BAKERI & KONDITORI AS,Produksjon av brød og ferske konditorvarer
994344560,88.911,42.0,ØSTMARKA IDRETTSBARNEHAGE AS,Barnehager
887953562,88.911,23.0,ØSTMARKSKOLLEN FUS BARNEHAGE AS,Barnehager
987634723,10.910,42.0,ØSTMØLLENE AS,Produksjon av fôrvarer til husdyrhold
986480420,82.990,5.0,ØSTNORSK FILMSENTER AS,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
984058411,32.500,41.0,ØSTO ORTOPEDISENTER AS,Produksjon av medisinske og tanntekniske instrumenter og utstyr
960204662,15.200,3.0,ØSTO ORTOPEDISKO AS,Produksjon av skotøy
959760470,46.739,16.0,ØSTRAADT ØST AS,Engroshandel med byggevarer ikke nevnt annet sted
991972633,84.250,247.0,ØSTRE AGDER BRANNVESEN,Brannvern
896273612,87.909,22.0,ØSTRE AGDER KRISESENTER,Omsorgsinstitusjoner ellers
937894260,64.190,37.0,ØSTRE AGDER SPAREBANK,Bankvirksomhet ellers
811854212,94.910,3.0,ØSTRE AKER OG HAUGERUD SOKN,Religiøse organisasjoner
971259817,88.995,6.0,ØSTRE BÆRUM SANITETSFORENING,Sosiale velferdsorganisasjoner
991346724,88.911,11.0,ØSTRE NATTLANDSFJELLET BARNEHAGE ANS,Barnehager
922043825,88.911,25.0,ØSTRE STRØM FUS BARNEHAGE AS,Barnehager
960415108,68.209,6.0,ØSTRE TOTEN BOLIGSTIFTELSE,Utleie av egen eller leid fast eiendom ellers
879128552,68.209,2.0,ØSTRE TOTEN EIENDOMSSELSKAP AS,Utleie av egen eller leid fast eiendom ellers
861721922,68.209,14.0,ØSTRE TOTEN IDRETTSPARK AS,Utleie av egen eller leid fast eiendom ellers
976989112,94.910,31.0,ØSTRE TOTEN KIRKELIGE FELLESRÅD,Religiøse organisasjoner
988378356,84.120,156.0,ØSTRE TOTEN KOMMUNE BARNEHAGENE,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
988378453,84.130,26.0,ØSTRE TOTEN KOMMUNE BRANNVESEN,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked
